Course Code,Course Name,Course Hours,Requirement Group,Number Required
CS 4100,Artificial Intelligence,4,Default,All
DS 4400,Machine Learning and Data Mining 1,4,Default,All
CS 4120,Natural Language Processing,,Default1,two
CS 4150,Game Artificial Intelligence,,Default1,two
CS 4180,Reinforcement Learning,,Default1,two
CS 4610,Robotic Science and Systems,,Default1,two
DS 4420,Machine Learning and Data Mining 2,,Default1,two
IS 4200,Information Retrieval,,Default1,two
PSYC 3466,Cognition,,Default1,two
