Course Code,Course Name,Course Hours,Requirement Group,Is Optional
CS 4100,Artificial Intelligence,4,Advanced Writing in the Disciplines,True
DS 4400,Machine Learning and Data Mining 1,4,Advanced Writing in the Disciplines,True
CS 4120,Natural Language Processing,,Advanced Writing in the Disciplines,True
CS 4150,Game Artificial Intelligence,,Advanced Writing in the Disciplines,True
CS 4180,Reinforcement Learning,,Advanced Writing in the Disciplines,True
CS 4610,Robotic Science and Systems,,Advanced Writing in the Disciplines,True
DS 4420,Machine Learning and Data Mining 2,,Advanced Writing in the Disciplines,True
IS 4200,Information Retrieval,,Advanced Writing in the Disciplines,True
PSYC 3466,Cognition,,Advanced Writing in the Disciplines,True
