Course Code,Course Name,Course Hours,Requirement Group,Number Required,Enrolled
BIOL 1000,Biology at Northeastern,1,Introduction to College,All,False
or INSC 1000,Science at Northeastern,,Introduction to College,All,False
EESC 2000,Professional Development for Co-op,1,Experiential Learning Introduction,All,False
BIOL 1107and BIOL 1108,Foundations of Biologyand Lab for BIOL 1107,5,Biology Core Courses,All,False
BIOL 2299,Inquiries in Biological Sciences,4,Biology Core Courses,All,False
BIOL 2301and BIOL 2302,Genetics and Molecular Biologyand Lab for BIOL 2301,5,Biology Core Courses,All,False
BIOL 2309,Biology Project Lab,4,Biology Core Courses,All,False
BIOL 3611and BIOL 3612,Biochemistryand Lab for BIOL 3611,5,Biology Core Courses,All,False
