Course Code,Course Name,Course Hours,Requirement Group,Is Optional
IS 4300,Human Computer Interaction,4,Advanced Writing in the Disciplines,True
IS 4800,Empirical Research Methods,4,Advanced Writing in the Disciplines,True
CS 4120,Natural Language Processing,,Advanced Writing in the Disciplines,True
CS 4520,Mobile Application Development,,Advanced Writing in the Disciplines,True
CS 4550,Web Development,,Advanced Writing in the Disciplines,True
DS 4200,Information Presentation and Visualization,,Advanced Writing in the Disciplines,True
IS 2000,Principles of Information Science,,Advanced Writing in the Disciplines,True
