Course Code,Course Name,Course Hours,Requirement Group,Number Required,Enrolled
ECON 1115,Principles of Macroeconomics,4,Default,All,False
or ECON 1116,Principles of Microeconomics,,Default,All,False
MATH 1231,Calculus for Business and Economics,4,Default,All,False
or MATH 1341,Calculus 1 for Science and Engineering,,Default,All,False
or MATH 1241,Calculus 1,,Default,All,False
or MATH 1251,Calculus and Differential Equations for Biology 1,,Default,All,False
or MATH 1340,Intensive Calculus for Engineers,,Default,All,False
