Course Code,Course Name,Course Hours,Requirement Group,Number Required,Enrolled
CS 4100,Artificial Intelligence,4,Default,All,False
DS 4400,Machine Learning and Data Mining 1,4,Default,All,False
CS 4120,Natural Language Processing,,Default1,two,False
CS 4150,Game Artificial Intelligence,,Default1,two,False
CS 4180,Reinforcement Learning,,Default1,two,False
CS 4610,Robotic Science and Systems,,Default1,two,False
DS 4420,Machine Learning and Data Mining 2,,Default1,two,False
IS 4200,Information Retrieval,,Default1,two,False
PSYC 3466,Cognition,,Default1,two,False
